X,Y,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,ST_SUBTYPE
-13606580.244,4551809.9968,11,1222247667,GAN MAH TOV PRESCHOOL,3778 PARK BLVD,OAKLAND,CA,94610,NOT AVAILABLE,(510) 530-2146,RELIGIOUS FACILITY,OPEN,14,LOS ANGELES,6037,USA,37.804253,-122.22999,624410,CHILD DAY CARE CENTERS,https://secure.dss.ca.gov/CareFacilitySearch/Home/DownloadData,2019/07/29 00:00:00,IMAGERY/OTHER,2020/05/12 00:00:00,https://secure.dss.ca.gov/CareFacilitySearch/Home/DownloadData,NOT AVAILABLE
-13581919.5112,4556187.6448,12,1222246974,FOUNTAINHEAD MONTESSORI SCHOOL,939 EL PINTADO ROAD,DANVILLE,CA,94526,NOT AVAILABLE,(925) 820-6250,CENTER BASED,OPEN,92,CONTRA COSTA,6013,USA,37.835316,-122.00846,624410,"CHILD DAY CARE, BEFORE OR AFTER SCHOOL, SEPARATE FROM SCHOOLS",https://secure.dss.ca.gov/CareFacilitySearch/Home/DownloadData,2019/07/29 00:00:00,IMAGERY/OTHER,2020/05/19 00:00:00,https://secure.dss.ca.gov/CareFacilitySearch/Home/DownloadData,NOT AVAILABLE
-9539970.8226,5060417.1953,13,1222318518,MILESTONES EARLY EDUCATION CENTER,111 SOUTH HARRISON,NORTH WEBSTER,IN,46555,NOT AVAILABLE,(574) 834-2111,SCHOOL BASED,OPEN,61,KOSCIUSKO,18085,USA,41.32513,-85.699013,624410,CHILD DAY CARE CENTERS,https://secure.in.gov/apps/fssa/carefinder/index.html,2019/09/18 00:00:00,IMAGERY/OTHER,2020/04/22 00:00:00,https://milestonesearlyeducation.org/,NOT AVAILABLE
-9708843.8371,3557533.6809,14,1222281796,FIRST BAPTIST CHRISTIAN PRESCHOOL,500 N PALAFOX ST,PENSACOLA,FL,32501,NOT AVAILABLE,(850) 433-0063,RELIGIOUS FACILITY,OPEN,170,ESCAMBIA,12033,USA,30.419085,-87.216026,624410,CHILD DAY CARE CENTERS,https://cares.myflfamilies.com/PublicSearch,2018/10/04 00:00:00,IMAGERY/OTHER,2019/05/28 00:00:00,NOT AVAILABLE,CHILD CARE FACILITY
-9715469.7847,3572079.886,15,1222281817,MALENA'S MINI SCHOOL I,9318 PENSACOLA BLVD,PENSACOLA,FL,32534,NOT AVAILABLE,(850) 478-5733,CENTER BASED,OPEN,141,ESCAMBIA,12033,USA,30.531702,-87.275551,624410,CHILD DAY CARE CENTERS,https://cares.myflfamilies.com/PublicSearch,2018/10/04 00:00:00,IMAGERY/OTHER,2019/05/28 00:00:00,NOT AVAILABLE,CHILD CARE FACILITY
-9625740.8539,3572123.7885,16,1222281881,PAM'S LIGHTHOUSE LEARNING CENTER INC,1209 47TH ST,NICEVILLE,FL,32578,NOT AVAILABLE,(850) 678-0550,CENTER BASED,OPEN,38,OKALOOSA,12091,USA,30.532042,-86.469498,624410,CHILD DAY CARE CENTERS,https://cares.myflfamilies.com/PublicSearch,2018/10/04 00:00:00,IMAGERY/OTHER,2019/05/28 00:00:00,NOT AVAILABLE,CHILD CARE FACILITY
-10279860.6348,5235742.9538,17,1222320243,HAWKEYE CHILD DEVELOPENT CENTER - ALC,120 JEFFERSON ST,WATERLOO,IA,50701,NOT AVAILABLE,(319) 296-4303,CENTER BASED,OPEN,56,BLACK HAWK,19013,USA,42.497147,-92.345558,624410,CHILD DAY CARE CENTERS,http://ccmis.dhs.state.ia.us/clientportal/providersearch.aspx,2019/06/25 00:00:00,IMAGERY/OTHER,2019/09/05 00:00:00,NOT AVAILABLE,NOT AVAILABLE
-9792237.3354,5324800.7166,18,1222314694,KIDZ N ACTION CHILD DEV CTR LLC,4127 W NASH ST,MILWAUKEE,WI,53216,3050,(414) 231-3849,CENTER BASED,OPEN,20,MILWAUKEE,55079,USA,43.084225,-87.965164,624410,CHILD DAY CARE CENTERS,http://dcf.wisconsin.gov/childcare/licensed/search.HTM,2019/08/14 00:00:00,IMAGERY,2020/05/22 00:00:00,NOT AVAILABLE,NOT AVAILABLE
-13037184.9679,3897983.9705,19,1222253627,KIDS' CARE CLUB,10414 CRAFTSMAN WAY,SAN DIEGO,CA,92127,NOT AVAILABLE,(858) 675-7000,CENTER BASED,OPEN,137,SAN DIEGO,6073,USA,33.020187,-117.11503,624410,CHILD DAY CARE CENTERS,https://secure.dss.ca.gov/CareFacilitySearch/Home/DownloadData,2019/07/29 00:00:00,IMAGERY/OTHER,2020/05/13 00:00:00,https://secure.dss.ca.gov/CareFacilitySearch/Home/DownloadData,NOT AVAILABLE
-13116774.5426,3981566.299,20,1222276614,U.C.IRVINE-EARLY CHILDHOOD EDUCATION CENTER,501 ADOBE CIRCLE,IRVINE,CA,92617,NOT AVAILABLE,(949) 824-2100,CENTER BASED,OPEN,118,SOLANO,6095,USA,33.647491,-117.82999,624410,CHILD DAY CARE CENTERS,https://secure.dss.ca.gov/CareFacilitySearch/Home/DownloadData,2019/07/29 00:00:00,IMAGERY/OTHER,2020/01/17 00:00:00,https://secure.dss.ca.gov/CareFacilitySearch/Home/DownloadData,NOT AVAILABLE
-9113373.0989,3512658.8235,21,1222281944,EPISCOPAL CHILDREN'S SERVICES EARLY LEARNING CENTER #4,2506 BLANDING BLVD,MIDDLEBURG,FL,32068,NOT AVAILABLE,(904) 291-5473,CENTER BASED,OPEN,101,CLAY,12019,USA,30.070839,-81.866821,624410,CHILD DAY CARE CENTERS,https://cares.myflfamilies.com/PublicSearch,2018/10/04 00:00:00,IMAGERY/OTHER,2019/05/29 00:00:00,NOT AVAILABLE,CHILD CARE FACILITY
-9385443.4062,3557981.577,22,1222281984,THE FLORIDA STATE UNIVERSITY CHILDREN'S CENTER,169 HERLONG DR,TALLAHASSEE,FL,32310,NOT AVAILABLE,(850) 645-9576,CENTER BASED,OPEN,36,LEON,12073,USA,30.422554,-84.310875,624410,CHILD DAY CARE CENTERS,https://cares.myflfamilies.com/PublicSearch,2018/10/04 00:00:00,IMAGERY/OTHER,2019/05/29 00:00:00,NOT AVAILABLE,CHILD CARE FACILITY
-9083881.9892,3550541.4096,23,1222281998,A.R.T. LEARNING CENTER,5750 FORT CAROLINE RD,JACKSONVILLE,FL,32277,NOT AVAILABLE,(904) 619-8781,CENTER BASED,OPEN,39,DUVAL,12031,USA,30.364902,-81.601898,624410,CHILD DAY CARE CENTERS,https://cares.myflfamilies.com/PublicSearch,2018/10/04 00:00:00,IMAGERY/OTHER,2019/05/29 00:00:00,NOT AVAILABLE,CHILD CARE FACILITY
-9079352.4406,3540533.6675,24,1222282046,"CORNERSTONE OF JACKSONVILLE, INC.",9039 BEACH BLVD,JACKSONVILLE,FL,32216,NOT AVAILABLE,(904) 730-5500,CENTER BASED,OPEN,45,DUVAL,12031,USA,30.287302,-81.561211,624410,CHILD DAY CARE CENTERS,https://cares.myflfamilies.com/PublicSearch,2018/10/04 00:00:00,IMAGERY/OTHER,2019/05/29 00:00:00,NOT AVAILABLE,CHILD CARE FACILITY
-9797785.6942,5440095.9801,25,1222309201,ELKHART LAKE - GLENBEULAH SCHOOL,251 E MAPLE ST,ELKHART LAKE,WI,53020,1975,(920) 876-2856,SCHOOL BASED,OPEN,84,SHEBOYGAN,55117,USA,43.835987,-88.015007,624410,"CHILD DAY CARE, BEFORE OR AFTER SCHOOL, SEPARATE FROM SCHOOLS",http://dcf.wisconsin.gov/childcare/licensed/search.HTM,2019/08/14 00:00:00,IMAGERY/OTHER,2019/09/16 00:00:00,NOT AVAILABLE,NOT AVAILABLE
-9857636.5409,5262844.7122,26,1222320270,TLC WESTSIDE WRAPAROUND,222 SUNSET DR,ELKHORN,WI,53121,1220,(262) 723-4504,SCHOOL BASED,OPEN,32,WALWORTH,55127,USA,42.676395,-88.552658,624410,"CHILD DAY CARE, BEFORE OR AFTER SCHOOL, SEPARATE FROM SCHOOLS",http://dcf.wisconsin.gov/childcare/licensed/search.HTM,2019/08/14 00:00:00,IMAGERY/OTHER,2019/09/16 00:00:00,NOT AVAILABLE,NOT AVAILABLE
-9074029.6688,3519873.3166,27,1222282052,CITI FAMILY CENTER JACKSONVILLE,"14000 CITICARDS WAY, BLDG F",JACKSONVILLE,FL,32258,NOT AVAILABLE,(904) 954-5437,CENTER BASED,OPEN,684,DUVAL,12031,USA,30.126909,-81.513397,624410,CHILD DAY CARE CENTERS,https://cares.myflfamilies.com/PublicSearch,2018/10/04 00:00:00,IMAGERY,2019/05/29 00:00:00,NOT AVAILABLE,CHILD CARE FACILITY
-9090748.5761,3550677.0337,28,1222282068,FUTURE DUCK EARLY LEARNING INC,4416 BRENTWOOD AVE,JACKSONVILLE,FL,32206,NOT AVAILABLE,(904) 768-7666,CENTER BASED,OPEN,40,DUVAL,12031,USA,30.365953,-81.663582,624410,CHILD DAY CARE CENTERS,https://cares.myflfamilies.com/PublicSearch,2018/10/04 00:00:00,IMAGERY,2019/05/29 00:00:00,NOT AVAILABLE,CHILD CARE FACILITY
-10403627.0619,3703341.0682,29,15371449,SABINE PARISH SCHOOL BOARD FAMILY LITERACY CENTER,1255 FISHER ROAD,MANY,LA,71449,NOT AVAILABLE,NOT AVAILABLE,CENTER BASED,OPEN,66,SABINE,22085,USA,31.542007,-93.457375,624410,CHILD DAY CARE CENTERS,http://carefacility.dss.louisiana.gov/,2016/08/10 00:00:00,IMAGERY/OTHER,2019/05/03 00:00:00,NOT AVAILABLE,NOT AVAILABLE
